,Player,Pos,Age,Tm,GS,MP,FG,FG%,3P,3P%,FT,FT%,TRB,AST,STL,BLK,TOV,PTS
0,Steven Adams,C,26,OKC,63,26.7,4.5,0.592,0.0,0.333,1.9,0.582,9.3,2.3,0.8,1.1,1.5,10.9
1,Bam Adebayo,PF,22,MIA,72,33.6,6.1,0.557,0.0,0.143,3.7,0.691,10.2,5.1,1.1,1.3,2.8,15.9
2,LaMarcus Aldridge,C,34,SAS,53,33.1,7.4,0.493,1.2,0.389,3.0,0.827,7.4,2.4,0.7,1.6,1.4,18.9
3,Kyle Alexander,PF,23,MIA,0,6.5,0.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,1.0
4,Nickeil Alexander-Walker,SG,21,NOP,1,12.6,2.1,0.368,1.0,0.346,0.5,0.676,1.8,1.9,0.4,0.2,1.1,5.7
5,Grayson Allen,SG,24,MEM,0,18.9,3.1,0.466,1.5,0.404,1.0,0.867,2.2,1.4,0.3,0.1,0.9,8.7
6,Jarrett Allen,C,21,BRK,64,26.5,4.3,0.649,0.0,0.0,2.4,0.633,9.6,1.6,0.6,1.3,1.1,11.1
7,Kadeem Allen,SG,27,NYK,0,11.7,1.9,0.432,0.5,0.313,0.7,0.636,0.9,2.1,0.5,0.2,0.8,5.0
8,Al-Farouq Aminu,PF,29,ORL,2,21.1,1.4,0.291,0.5,0.25,1.1,0.655,4.8,1.2,1.0,0.4,0.9,4.3
9,Justin Anderson,SF,26,BRK,1,10.7,1.0,0.263,0.6,0.207,0.2,0.5,2.1,0.8,0.0,0.6,0.4,2.8
10,Kyle Anderson,PF,26,MEM,28,19.9,2.3,0.474,0.4,0.282,0.8,0.667,4.3,2.4,0.8,0.6,1.0,5.8
11,Ryan Anderson,C,31,HOU,0,7.0,1.0,0.286,0.5,0.2,0.0,0.0,3.5,1.0,0.5,0.0,0.5,2.5
12,Giannis Antetokounmpo,PF,25,MIL,63,30.4,10.9,0.553,1.4,0.304,6.3,0.633,13.6,5.6,1.0,1.0,3.7,29.5
13,Kostas Antetokounmpo,PF,22,LAL,0,4.0,0.6,1.0,0.0,0.0,0.2,0.5,0.6,0.4,0.0,0.0,0.2,1.4
14,Thanasis Antetokounmpo,SF,27,MIL,2,6.5,1.2,0.5,0.0,0.0,0.4,0.412,1.2,0.8,0.4,0.1,0.6,2.8
15,Carmelo Anthony,PF,35,POR,58,32.8,5.8,0.43,1.5,0.385,2.3,0.845,6.3,1.5,0.8,0.5,1.7,15.4
16,OG Anunoby,SF,22,TOR,68,29.9,4.1,0.505,1.3,0.39,1.0,0.706,5.3,1.6,1.4,0.7,1.1,10.6
17,Ryan Arcidiacono,PG,25,CHI,4,16.0,1.6,0.409,0.9,0.391,0.5,0.711,1.9,1.7,0.5,0.1,0.6,4.5
18,Trevor Ariza,SF,34,TOT,21,28.2,2.7,0.438,1.5,0.372,1.2,0.838,4.6,1.7,1.3,0.3,1.1,8.0
19,Trevor Ariza,SF,34,SAC,0,24.7,2.0,0.388,1.3,0.352,0.7,0.778,4.6,1.6,1.1,0.2,0.9,6.0
20,Trevor Ariza,SF,34,POR,21,33.4,3.7,0.491,1.6,0.4,2.0,0.872,4.8,2.0,1.6,0.4,1.3,11.0
21,D.J. Augustin,PG,32,ORL,13,24.9,3.2,0.399,1.2,0.348,2.8,0.89,2.1,4.6,0.6,0.0,1.5,10.5
22,Deandre Ayton,C,21,PHO,32,32.5,8.2,0.546,0.1,0.231,1.8,0.753,11.5,1.9,0.7,1.5,2.1,18.2
23,Dwayne Bacon,SG,24,CHO,11,17.6,2.2,0.348,0.5,0.284,0.9,0.66,2.6,1.3,0.6,0.1,0.9,5.7
24,Marvin Bagley III,PF,20,SAC,6,25.7,6.0,0.467,0.3,0.182,1.9,0.806,7.5,0.8,0.5,0.9,1.4,14.2
25,Lonzo Ball,PG,22,NOP,54,32.1,4.4,0.403,2.3,0.375,0.7,0.566,6.1,7.0,1.4,0.6,3.1,11.8
26,Mo Bamba,C,21,ORL,0,14.2,2.1,0.462,0.6,0.346,0.5,0.674,4.9,0.7,0.4,1.4,0.7,5.4
27,J.J. Barea,PG,35,DAL,6,15.5,2.9,0.411,1.1,0.376,0.7,0.909,1.8,3.9,0.2,0.1,1.3,7.7
28,Harrison Barnes,PF,27,SAC,72,34.5,5.1,0.46,1.4,0.381,3.0,0.801,4.9,2.2,0.6,0.2,1.2,14.5
29,RJ Barrett,SG,19,NYK,55,30.4,5.2,0.402,1.1,0.32,2.8,0.614,5.0,2.6,1.0,0.3,2.2,14.3
30,Will Barton,SF,29,DEN,58,33.0,5.7,0.45,1.9,0.375,1.8,0.767,6.3,3.7,1.1,0.5,1.5,15.1
31,Keita Bates-Diop,SF,24,TOT,0,16.9,2.3,0.427,0.8,0.33,1.2,0.72,2.9,0.7,0.4,0.5,0.4,6.5
32,Keita Bates-Diop,SF,24,MIN,0,17.5,2.4,0.422,0.8,0.33,1.2,0.708,3.0,0.8,0.5,0.5,0.4,6.8
33,Keita Bates-Diop,SF,24,DEN,0,14.0,1.9,0.464,0.4,0.333,1.1,0.8,2.4,0.0,0.3,0.6,0.4,5.3
34,Nicolas Batum,SF,31,CHO,3,23.0,1.3,0.346,0.6,0.286,0.4,0.9,4.5,3.0,0.8,0.4,1.0,3.6
35,Aron Baynes,C,33,PHO,28,22.2,4.4,0.48,1.4,0.351,1.3,0.747,5.6,1.6,0.2,0.5,1.2,11.5
